epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0476,1.65058,2.31606,1.44683,0.9443,0.67827,0.93363,0.55,1.31127,2.04384,2.53711,0.0937,0.0007,0.0007
2,60.2465,1.4215,1.07104,1.33675,0.62468,0.68,0.77981,0.40502,1.77646,1.34135,3.54415,0.0863515,0.0013515,0.0013515
3,91.0154,1.41385,0.9832,1.35835,0.34483,0.16,0.09599,0.0389,3.70528,7.42465,5.61969,0.0788446,0.0018446,0.0018446
4,153.392,1.31141,0.9268,1.21721,0,0,0,0,5.32405,1948.01,44.1282,0.0711793,0.0021793,0.0021793
5,185.943,1.16023,0.79232,1.21084,0.00508,0.8,0.00468,0.00104,3.54165,220.695,11.4398,0.0633556,0.0023556,0.0023556
6,217.435,1.30942,0.80831,1.23867,0.03644,0.36,0.0226,0.00351,3.93239,479.954,30.6811,0.0553735,0.0023735,0.0023735
7,247.9,1.16086,0.8309,1.17072,0.09869,1,0.56627,0.24584,1.73066,33.275,2.79079,0.047233,0.002233,0.002233
8,278.627,1.01192,0.68897,1.08716,0.0621,1,0.86815,0.35825,1.86492,34.9543,3.10664,0.0389341,0.0019341,0.0019341
9,310.029,1.0575,0.73964,1.10287,0.08781,1,0.85709,0.23824,2.51484,20.2224,4.11241,0.0304768,0.0014768,0.0014768
10,340.606,1.08515,0.69105,1.0936,0.31599,1,0.96284,0.32597,2.11395,8.38407,2.64809,0.0218611,0.0008611,0.0008611
